Base EAN13,Digito verificador,Código de Barras,Producto,Marca,Modelo,Cantidad a la mano,Atributo,Valores Atributo,Venta con IVA,Venta sin IVA,SKU Proveedor,Largo Envio,Ancho Envio,Alto Envio,Peso completo,Dimensiones Producto,Material,Proveedor,Precio de Costo,# Variantes de producto,Observaciones,Descripción para el sitio web,Descripción SEO,Referencia interna,Nombre Base,Nombre Comercial,Categoría de Punto de venta,Subcategoría,Volumen,Imagen,Categoría del Producto,Está Publicado,Rastrear Inventario,Etiquetas,Sitio web,Disponible en PdV
780999003000,3,7809990030003,Camara,Velocek,20,8,Válvula,Dunlop,"$3,000","$2,521",C1420,100,50,80,171,1.95/2.125,Butilo,MKR,"$1,684",1,,"Cámara Velocek Aro 20 para bicicleta, pensada para reemplazar una cámara dañada y mantenerte rodando en tus salidas. Para un montaje correcto, revisa la compatibilidad con tu rueda y realiza la instalación con cuidado para evitar pellizcos. Especificaciones Técnicas Tipo de producto Camara Marca Velocek Modelo 20 Variante Válvula: Dunlop Material Butilo Dimensiones Producto 1.95/2.125","Cámara Velocek aro 20 para bicicleta, pensada como repuesto práctico para el uso diario. Ideal para reemplazar una cámara dañada y volver a rodar con tranquilidad.",CAM-VEL-20-D,Camara Velocek Aro 20,Camara Velocek Aro 20x1.95/2.125 Válvula Dunlop,Repuestos,Neumáticos y Cámaras,400000,https://clubike.cl/imagenes/CAM-VEL-20-D.jpg,Repuestos / Neumáticos y Cámaras,1,1,"Mantenimiento, Reparación",Clubike,TRUE
780999003001,0,7809990030010,Camara,Velocek,22,2,Válvula,Auto,"$3,990","$3,353",C2599,150,60,90,270,2.125,Butilo,MKR,"$2,511",1,,"Cámara Velocek Aro 22 para bicicleta, pensada para reemplazar una cámara dañada y mantenerte rodando en tus salidas. Para un montaje correcto, revisa la compatibilidad con tu rueda y realiza la instalación con cuidado para evitar pellizcos. Especificaciones Técnicas Tipo de producto Camara Marca Velocek Modelo 22 Variante Válvula: Auto Material Butilo Dimensiones Producto 2.125","Cámara Velocek aro 22 para bicicleta, pensada como repuesto práctico para el uso diario. Ideal para reemplazar una cámara dañada y volver a rodar con tranquilidad.",CAM-VEL-22-A,Camara Velocek Aro 22,Camara Velocek Aro 22x2.125 Válvula Auto,Repuestos,Neumáticos y Cámaras,810000,https://clubike.cl/imagenes/CAM-VEL-22-A.jpg,Repuestos / Neumáticos y Cámaras,1,1,"Mantenimiento, Reparación",Clubike,TRUE
780999003002,7,7809990030027,Camara,Velocek,16,1,Válvula,Dunlop,"$2,990","$2,513",C1418,100,77,50,150,1.75/1.95,Butilo,MKR,"$1,484",1,,"Cámara Velocek modelo 16 para bicicleta, pensada para reemplazar una cámara dañada y mantenerte rodando en tus salidas. Para un montaje correcto, revisa la compatibilidad con tu rueda y realiza la instalación con cuidado para evitar pellizcos. Especificaciones Técnicas Tipo de producto Camara Marca Velocek Modelo 16 Variante Válvula: Dunlop Material Butilo Dimensiones Producto 1.75/1.95","Cámara Velocek aro 16 para bicicleta, pensada como repuesto práctico para el uso diario. Ideal para reemplazar una cámara dañada y volver a rodar con tranquilidad.",CAM-VEL-16-D,Camara Velocek Aro 16,Camara Velocek Aro 16x1.75/1.95 Válvula Dunlop,Repuestos,Neumáticos y Cámaras,385000,https://clubike.cl/imagenes/CAM-VEL-16-D.jpg,Repuestos / Neumáticos y Cámaras,1,1,"Mantenimiento, Reparación",Clubike,TRUE
780999003003,4,7809990030034,Camara,Velocek,28,6,Válvula,Auto,"$4,990","$4,193",C1415,135,53,80,232,1 1/2,Butilo,MKR,"$2,594",1,,"Cámara Velocek Aro 28 para bicicleta, pensada para reemplazar una cámara dañada y mantenerte rodando en tus salidas. Para un montaje correcto, revisa la compatibilidad con tu rueda y realiza la instalación con cuidado para evitar pellizcos. Especificaciones Técnicas Tipo de producto Camara Marca Velocek Modelo 28 Variante Válvula: Auto Material Butilo Dimensiones Producto 1 1/2","Cámara Velocek aro 28 para bicicleta, pensada como repuesto práctico para el uso diario. Ideal para reemplazar una cámara dañada y volver a rodar con tranquilidad.",CAM-VEL-28-A,Camara Velocek Aro 28,Camara Velocek Aro 28x1.5 Válvula Auto,Repuestos,Neumáticos y Cámaras,572400,https://clubike.cl/imagenes/CAM-VEL-28-A.jpg,Repuestos / Neumáticos y Cámaras,1,1,"Mantenimiento, Reparación",Clubike,TRUE
780999003004,1,7809990030041,Camara,Velocek,27.5,1,Válvula,Francesa 48 mm,"$4,990","$4,193",C2714,150,85,60,245,1.95/2.125,Butilo,MKR,"$2,570",1,,"Cámara Velocek Aro 27.5 para bicicleta, pensada para reemplazar una cámara dañada y mantenerte rodando en tus salidas. Para un montaje correcto, revisa la compatibilidad con tu rueda y realiza la instalación con cuidado para evitar pellizcos. Especificaciones Técnicas Tipo de producto Camara Marca Velocek Modelo 27.5 Variante Válvula: Francesa 48 mm Material Butilo Dimensiones Producto 1.95/2.125","Cámara Velocek aro 27.5 para bicicleta, pensada como repuesto práctico para el uso diario. Ideal para reemplazar una cámara dañada y volver a rodar con tranquilidad.",CAM-VEL-275-F,Camara Velocek Aro 27.5,Camara Velocek Aro 27.5x1.95/2.125 Válvula Francesa 48 mm,Repuestos,Neumáticos y Cámaras,765000,https://clubike.cl/imagenes/CAM-VEL-275-F.jpg,Repuestos / Neumáticos y Cámaras,1,1,"Mantenimiento, Reparación",Clubike,TRUE
780999003005,8,7809990030058,Camara,Duro,12,4,Válvula,Auto,"$3,000","$2,521",,126,53,26,128,1 1/2 x 2 1/4,Butilo,No registra,"$2,308",1,,"Cámara de aire Duro para bicicleta, pensada para reemplazar una cámara pinchada o desgastada y seguir rodando con normalidad. Una opción práctica para mantenimiento y repuesto: revisa que corresponda a tu rueda y realiza la instalación con cuidado para evitar pellizcos durante el montaje. Especificaciones Técnicas Tipo de producto Camara Marca Duro Aro 12 Variante Válvula: Auto Material Butilo Dimensiones Producto 1 1/2 x 2 1/4","Cámara aro 12 Duro para bicicleta, pensada como repuesto práctico para el uso diario. Ideal para reemplazar una cámara dañada y volver a rodar con tranquilidad.",CAM-DUR-12-A,Camara Duro Aro 12,Camara Duro Aro 12x1 1/2 x 2 1/4 Válvula Auto,Repuestos,Neumáticos y Cámaras,173628,https://clubike.cl/imagenes/CAM-DUR-12-A.jpg,Repuestos / Neumáticos y Cámaras,1,1,"Mantenimiento, Reparación",Clubike,TRUE
780999003006,5,7809990030065,Camara,Duro,24,2,Válvula,Dunlop,"$4,200","$3,529",,150,80,50,165,1.75,Butilo,No registra,"$3,231",2,,"Cámara de aire Duro para bicicleta, pensada para reemplazar una cámara pinchada o desgastada y seguir rodando con normalidad. Una opción práctica para mantenimiento y repuesto: revisa que corresponda a tu rueda y realiza la instalación con cuidado para evitar pellizcos durante el montaje. Especificaciones Técnicas Tipo de producto Camara Marca Duro Aro 24 Variante Válvula: Dunlop Material Butilo Dimensiones Producto 1.75","Cámara aro 24 Duro para bicicleta, pensada como repuesto práctico para el uso diario. Ideal para reemplazar una cámara dañada y volver a rodar con tranquilidad.",CAM-DUR-24-D,Camara Duro Aro 24,Camara Duro Aro 24x1.75 Válvula Dunlop,Repuestos,Neumáticos y Cámaras,600000,https://clubike.cl/imagenes/CAM-DUR-24-D.jpg,Repuestos / Neumáticos y Cámaras,1,1,"Mantenimiento, Reparación",Clubike,TRUE
780999003007,2,7809990030072,Camara,Duro,24,1,Válvula,Auto,"$4,200","$3,529",,150,80,50,181,1.75/2.125,Butilo,No registra,"$3,231",2,,"Cámara de aire Duro para bicicleta, pensada para reemplazar una cámara pinchada o desgastada y seguir rodando con normalidad. Una opción práctica para mantenimiento y repuesto: revisa que corresponda a tu rueda y realiza la instalación con cuidado para evitar pellizcos durante el montaje. Especificaciones Técnicas Tipo de producto Camara Marca Duro Aro 24 Variante Válvula: Auto Material Butilo Dimensiones Producto 1.75/2.125","Cámara aro 24 Duro para bicicleta, pensada como repuesto práctico para el uso diario. Ideal para reemplazar una cámara dañada y volver a rodar con tranquilidad.",CAM-DUR-24-A,Camara Duro Aro 24,Camara Duro Aro 24x1.75/2.125 Válvula Auto,Repuestos,Neumáticos y Cámaras,600000,https://clubike.cl/imagenes/CAM-DUR-24-A.jpg,Repuestos / Neumáticos y Cámaras,1,1,"Mantenimiento, Reparación",Clubike,TRUE
780999003008,9,7809990030089,Camara,RBX,12,2,Válvula,Auto,"$2,990","$2,513",,115,70,50,100,1/2 X 2 1/4,Butilo,No registra,"$2,300",1,,"Cámara de aire RBX para bicicleta, pensada para reemplazar una cámara pinchada o desgastada y seguir rodando con normalidad. Una opción práctica para mantenimiento y repuesto: revisa que corresponda a tu rueda y realiza la instalación con cuidado para evitar pellizcos durante el montaje. Especificaciones Técnicas Tipo de producto Camara Marca RBX Aro 12 Variante Válvula: Auto Material Butilo Dimensiones Producto 1/2 X 2 1/4","Cámara aro 12 RBX para bicicleta, pensada como repuesto práctico para el uso diario. Ideal para reemplazar una cámara dañada y volver a rodar con tranquilidad.",CAM-RBX-12-A,Camara RBX Aro 12,Camara RBX Aro 12x1/2 X 2 1/4 Válvula Auto,Repuestos,Neumáticos y Cámaras,402500,https://clubike.cl/imagenes/CAM-RBX-12-A.jpg,Repuestos / Neumáticos y Cámaras,1,1,"Mantenimiento, Reparación",Clubike,TRUE
780999003009,6,7809990030096,Camara,DingLi,12,2,Válvula,Auto,"$2,990","$2,513",,100,70,55,100,1.95,Butilo,No registra,"$2,300",1,,"Cámara de aire DingLi para bicicleta, pensada para reemplazar una cámara pinchada o desgastada y seguir rodando con normalidad. Una opción práctica para mantenimiento y repuesto: revisa que corresponda a tu rueda y realiza la instalación con cuidado para evitar pellizcos durante el montaje. Especificaciones Técnicas Tipo de producto Camara Marca DingLi Aro 12 Variante Válvula: Auto Material Butilo Dimensiones Producto 1.95","Cámara aro 12 DingLi para bicicleta, pensada como repuesto práctico para el uso diario. Ideal para reemplazar una cámara dañada y volver a rodar con tranquilidad.",CAM-DIN-12-A,Camara DingLi Aro 12,Camara DingLi Aro 12x1.95 Válvula Auto,Repuestos,Neumáticos y Cámaras,385000,https://clubike.cl/imagenes/CAM-DIN-12-A.jpg,Repuestos / Neumáticos y Cámaras,1,1,"Mantenimiento, Reparación",Clubike,TRUE
